muN,mu1,mu2,alpha1,alpha2,beta1,beta2
6.42e-05,6.03e-05,0.00367493,1.996953638,5.921147126,1.872095183,5.539081644
6.15e-05,1.5e-05,0.002488853,5.913799828,6.277574852,5.764279502,5.310037228
6.15e-05,1.94e-05,0.00223056,5.223930167,3.809550722,5.094463122,2.963157011
6.15e-05,1.94e-05,0.00223056,5.223930167,3.809550722,5.094463122,2.963157011
6.15e-05,1.94e-05,0.00223056,5.223930167,3.809550722,5.094463122,2.963157011
6.15e-05,3.47e-05,0.003109161,2.944564517,4.299763172,2.816536236,3.754861996
6.15e-05,3.47e-05,0.003109161,2.944564517,4.299763172,2.816536236,3.754861996
6.15e-05,3.47e-05,0.003109161,2.944564517,4.299763172,2.816536236,3.754861996
6.15e-05,2.5e-05,0.002758268,4.06490144,3.967374052,3.936332637,3.26948084
6.15e-05,2.5e-05,0.002758268,4.06490144,3.967374052,3.936332637,3.26948084
6.15e-05,5.97e-05,0.003582184,1.563281458,5.706400998,1.419963955,5.493385406
6.15e-05,5.97e-05,0.003582184,1.563281458,5.706400998,1.419963955,5.493385406
6.15e-05,5.63e-05,0.002596982,1.827037479,5.18504946,1.701765113,4.750284115
6.15e-05,8.42e-06,0.002541364,9.959033769,4.948307467,9.803965736,3.753142147
6.15e-05,5.12e-05,0.002775074,1.860359881,7.686508196,1.719737668,7.264442
6.15e-05,5.12e-05,0.002775074,1.860359881,7.686508196,1.719737668,7.264442
6.15e-05,5.12e-05,0.002775074,1.860359881,7.686508196,1.719737668,7.264442
6.15e-05,7.09e-05,0.002182692,1.455482579,5.339332144,1.334530624,4.93383669
6.15e-05,2.4e-05,0.004347228,3.397390077,7.047344815,3.239966765,6.556104892
6.15e-05,4.74e-05,0.00120507,2.171638588,7.257891256,2.046549134,6.526452924
6.15e-05,2.61e-05,0.002664403,3.698112513,5.956197978,3.55953099,5.2402613
6.15e-05,2.1e-05,0.001826278,4.453585617,7.718290957,4.310478106,6.82562228
6.15e-05,2.5e-05,0.00208334,4.132477634,3.106246641,4.013034381,2.375178516
6.15e-05,2.5e-05,0.00208334,4.132477634,3.106246641,4.013034381,2.375178516
6.15e-05,4.21e-05,0.003578098,2.442347068,2.668806841,2.32640225,2.255937435
6.42e-05,2.39e-05,0.003044657,4.969494512,5.224488936,4.840987437,4.386802402
6.15e-05,2.98e-05,0.006035389,3.484153711,1.860564748,3.36490019,1.489780841
6.15e-05,2.98e-05,0.006035389,3.484153711,1.860564748,3.36490019,1.489780841
6.15e-05,2.24e-05,0.002155145,4.382181317,5.473455439,4.246146255,4.63391836
6.15e-05,2.24e-05,0.002155145,4.382181317,5.473455439,4.246146255,4.63391836
6.15e-05,2.24e-05,0.002155145,4.382181317,5.473455439,4.246146255,4.63391836
6.15e-05,7.98e-05,0.002631527,1.143366249,8.050383076,0.997486383,7.851599566
6.15e-05,1.36e-05,0.003210176,6.457580355,5.45197073,6.307532154,4.542984814
6.15e-05,2.34e-05,0.00213143,4.312158945,4.631949698,4.181230004,3.826367877
