muN,mu1,mu2,alpha1,alpha2,beta1,beta2
7.76094762878892e-05,1.9735599690237e-05,0.00141196773506627,8.40887294090628,2.51677025585565,8.26503455033083,2.01477579130788
7.76094762878892e-05,1.9735599690237e-05,0.00141196773506627,8.40887294090628,2.51677025585565,8.26503455033083,2.01477579130788
5.2506149039654e-05,4.90788489881379e-05,0.000277815865766253,3.19065862242198,6.52936333088855,3.04380104086542,5.84135147908733
7.76058804454392e-05,3.89795099561752e-05,0.000293688174203792,4.49162862310664,5.65851135636508,4.35434217286503,5.00814742246553
7.76058804454392e-05,3.89795099561752e-05,0.000293688174203792,4.49162862310664,5.65851135636508,4.35434217286503,5.00814742246553
7.76071156642196e-05,3.35885912347401e-05,0.00134756339992168,4.06065389615662,5.39978948632715,3.89888128659386,5.05610128940711
7.76071156642196e-05,3.35885912347401e-05,0.00134756339992168,4.06065389615662,5.39978948632715,3.89888128659386,5.05610128940711
7.76103842183998e-05,4.24528678248257e-05,0.00134175655646466,3.40941496649436,5.11222026888802,3.25270184889002,4.81371508749237
7.76088270442952e-05,3.53283091283094e-05,0.000926324278219339,4.10675660631063,6.1263343665865,3.95037469339564,5.68198385357234
7.76088270442952e-05,3.53283091283094e-05,0.000926324278219339,4.10675660631063,6.1263343665865,3.95037469339564,5.68198385357234
7.76056371472078e-05,2.59486938036806e-05,0.00273029687039806,5.35636366856578,2.62783420730902,5.19616817237127,2.40084450840464
7.7612256849972e-05,1.51298192451543e-05,0.00132536564434096,7.86703965860003,4.95296770802363,7.69474717079908,4.42294910542306
7.7612256849972e-05,1.51298192451543e-05,0.00132536564434096,7.86703965860003,4.95296770802363,7.69474717079908,4.42294910542306
7.76065326145779e-05,2.08590620922368e-05,0.00135464414936856,5.55891685229476,6.0317677219048,5.38480332699565,5.60684788854129
7.76163972073197e-05,1.6370407001371e-05,0.00177592096650614,5.28371747844271,6.52415722669235,5.09001731980207,6.22412194991557
7.76163972073197e-05,1.6370407001371e-05,0.00177592096650614,5.28371747844271,6.52415722669235,5.09001731980207,6.22412194991557
7.76048484021233e-05,3.01567002121201e-05,0.00146120529829656,4.09468945331288,5.75612371220224,3.92539033808479,5.44002655464635
7.76057084226386e-05,3.48913541657874e-05,0.00102159894413809,5.2409610275008,2.83473576567646,5.10948729873757,2.39017280717704
7.76057084226386e-05,3.48913541657874e-05,0.00102159894413809,5.2409610275008,2.83473576567646,5.10948729873757,2.39017280717704
7.76131018827098e-05,2.89876138158251e-05,0.00228190948529654,4.65130555422056,3.28558139237435,4.48861899497403,3.05645857157066
7.76042942170312e-05,4.37510621153539e-05,0.00077045674469445,3.63043651855028,5.98596418537088,3.48235493216051,5.53855663089876
7.7611926651125e-05,1.73012799883381e-05,0.0026914645867473,6.15268615611109,3.59726163180688,5.97256336436153,3.35409385891849
7.7611926651125e-05,1.73012799883381e-05,0.0026914645867473,6.15268615611109,3.59726163180688,5.97256336436153,3.35409385891849
7.76077024068026e-05,3.82503126004525e-05,0.00219579819119967,3.90205494547693,2.87461949151143,3.74808964414558,2.67082876152884
7.76077024068026e-05,3.82503126004525e-05,0.00219579819119967,3.90205494547693,2.87461949151143,3.74808964414558,2.67082876152884
7.76077024068026e-05,3.82503126004525e-05,0.00219579819119967,3.90205494547693,2.87461949151143,3.74808964414558,2.67082876152884
7.76082300253083e-05,1.35490103981879e-05,0.00243500462077551,8.79257559386852,3.36112110882579,8.6203626713796,2.96062368342873
7.76032772335432e-05,2.75334449027862e-05,0.00188629896346388,4.95044991456621,3.95132816086505,4.78891699301798,3.64210584811029
7.76032772335432e-05,2.75334449027862e-05,0.00188629896346388,4.95044991456621,3.95132816086505,4.78891699301798,3.64210584811029
7.76032772335432e-05,2.75334449027862e-05,0.00188629896346388,4.95044991456621,3.95132816086505,4.78891699301798,3.64210584811029
5.25061471770338e-05,1.74033195796787e-05,0.00170182805926407,5.15065337242959,5.44237957715602,4.96059643397057,5.00398016811617
7.76051426420798e-05,2.37297068980783e-05,0.00140328996575224,6.53197883866123,3.43754066937109,6.3813977624962,2.98221778328231
7.7614672790028e-05,2.07514957349194e-05,0.00197821096570338,5.04259423508275,5.0324962497681,4.86126207184383,4.75989218598855
7.7614672790028e-05,2.07514957349194e-05,0.00197821096570338,5.04259423508275,5.0324962497681,4.86126207184383,4.75989218598855
7.7614672790028e-05,2.07514957349194e-05,0.00197821096570338,5.04259423508275,5.0324962497681,4.86126207184383,4.75989218598855
7.76021460659518e-05,5.22229119477612e-05,0.000290231993405335,3.68423903173288,4.21580141454387,3.56171774299074,3.64100309224344
