T1,T2,T3
-0.000221317,-0.006438259,-0.005381107
-0.000215232,-0.004940419,-0.004683072
5.48E-07,-0.009343024,-0.007081425
-3.63E-07,-0.000792963,-0.000812131
-0.000261287,0.00672068,0.001926277
-3.46E-11,2.12E-06,5.27E-06
5.77E-06,6.83E-06,5.86E-06
-3.85E-13,-1.08E-06,-1.07E-06
-1.36E-06,0.001185902,-0.000404475
-6.39E-05,-0.005087445,-0.00375408
-3.20E-05,-0.002621282,-0.002334742
-1.67E-05,-0.003496638,-0.004464239
4.30E-07,-0.005072414,-0.004445244
0.000127347,-0.002048777,-0.004000707
-2.51E-07,-0.006438817,-0.005371982
-0.000261287,0.00672068,0.001926277
-1.62E-10,-1.89E-06,-1.73E-06
1.97E-06,-0.007671408,-0.007008348
6.22E-06,-0.008496224,-0.007221104
0.00263242,-0.003413095,-0.003595408
-4.75E-07,-0.001431448,-0.001437417
-2.85E-05,-0.010539082,-0.007022404
-0.010464391,-0.01323892,-0.010114824
7.06E-05,-0.009037769,-0.007078543
0.027397412,0.005082887,0.002186277
1.35E-06,-0.009731565,-0.008855582
-1.89E-10,-9.37E-05,-7.89E-05
-1.10E-05,-0.005146143,-0.004198484
-4.20E-07,-0.004268791,-0.003851768
-3.22E-06,-0.00485538,-0.00263938
3.07E-06,-0.005503277,-0.0058772
1.38E-05,-0.00584037,-0.005018665
4.28E-05,-0.011585945,-0.010192627
-0.001429371,-0.004399646,-0.006470764
5.99E-05,0.000444181,-0.0019164
5.71E-08,-0.000632669,-0.001896958
-0.000805137,-0.003880517,-0.004246196
-1.32E-08,-3.39E-05,-3.45E-05
-0.014533114,-0.000568929,-0.001614076
-1.84E-10,-0.000255319,-0.00023357
-6.16E-06,-0.002976636,-0.003070651
1.01E-05,-0.011069266,-0.010399791
-2.77E-13,-3.86E-07,-3.52E-07
1.25E-05,0.008023657,0.007278729
-1.45E-14,1.30E-09,2.82E-09
-8.50E-09,-0.005205336,-0.004629544
-1.74E-05,-0.010576163,-0.009481854
3.08E-08,-0.010555332,-0.008916753
8.49E-05,-0.003827562,-0.003385761
0.001019362,-0.002003985,-0.002254664
2.02E-05,-0.003071708,-0.002785881
-2.81E-09,0.002892885,0.002659668
-0.00012229,-0.002609999,-0.003536205
-0.000133171,0.000146645,-0.002018494
-9.30E-05,-0.009813826,-0.00868721
-4.31E-07,-0.011003248,-0.009370096
-0.001368297,0.007415733,0.003176591
-1.74E-05,-0.010576163,-0.009481854
-6.03E-07,-0.004311158,-0.003855837
-0.001065689,-0.012137762,-0.012338236
3.56E-10,-3.31E-08,-1.62E-08
-8.91E-09,-0.004357134,-0.003890487
0.000863839,-0.008395395,-0.006839225
3.91E-07,-0.006124261,-0.005002696
-4.36E-05,0.028183474,0.026023109
7.77E-13,9.84E-10,3.71E-08
-2.07E-08,-0.007046485,-0.006390946
5.95E-06,-0.001942361,-0.002343789
-1.45E-12,-2.95E-05,-2.66E-05
-5.57E-06,-0.010172354,-0.008783498
1.40E-10,9.58E-05,0.000106809
-4.44E-05,-0.005889508,-0.005074104
-4.36E-05,0.028183474,0.026023109
-1.93E-05,0.000668172,-0.000954938
0.002408312,-0.01817909,-0.015303146
2.55E-05,-0.007978816,-0.006581781
-4.30E-12,-5.83E-07,-6.65E-07
7.90E-13,-3.10E-08,-3.15E-08
-2.17E-07,-9.69E-05,-7.10E-05
-2.26E-05,0.005378207,0.0023699
-2.55E-06,-0.004770213,-0.004055531
-3.86E-09,-0.001344624,-0.001298482
-0.010464391,-0.01323892,-0.010114824
-1.84E-08,-2.31E-07,5.08E-06
1.17E-05,-0.150249879,-0.132303422
-1.15E-05,0.013343999,0.009670231
7.33E-07,-0.006164115,-0.005651158
-0.000329964,-0.003354608,-0.004759069
-0.002959183,-0.005653793,-0.005023095
7.45E-06,0.004553618,0.001434322
5.30E-14,6.22E-08,5.45E-08
-4.53E-05,0.00839814,0.003830955
1.21E-07,0.000340838,0.000202837
0.000230758,-0.001206984,-0.003148347
4.50E-05,-0.01875638,-0.014372308
-1.15E-05,0.013343999,0.009670231
-1.47E-05,-0.002887624,-0.002349596
-1.23E-06,-0.008584885,-0.008666955
6.72E-06,-0.005258666,-0.005533725
2.97E-06,-0.006494009,-0.005708852
