muN,mu1,mu2,alpha1,alpha2,beta1,beta2
8.8365682276567e-05,4.60219794786375e-05,0.00155431468353696,5.90483097328001,1.80726460623338,5.76989228339057,1.57391750555042
8.58112432589478e-05,6.46128891187023e-05,0.00106664626040461,3.39905986452038,3.41934499857347,3.23922025024344,3.26433858345765
8.58112432589478e-05,6.46128891187023e-05,0.00106664626040461,3.39905986452038,3.41934499857347,3.23922025024344,3.26433858345765
8.581113589925e-05,2.33557378641913e-05,0.00113853498542937,5.9434376844246,5.17845053270941,5.74924550793263,4.95610689126593
5.25043616588941e-05,3.50853536653622e-05,0.00105238498232082,5.44583976601559,3.25260658245533,5.27623971915013,2.88569508849266
5.25043616588941e-05,3.50853536653622e-05,0.00105238498232082,5.44583976601559,3.25260658245533,5.27623971915013,2.88569508849266
5.25043579004761e-05,1.92906086274936e-05,0.00157406679685497,8.94850296649417,2.31491942293451,8.770883311581,1.92527774601062
8.58113981225898e-05,2.74930561250844e-05,0.00154609346522715,7.41184456771471,2.77624962038296,7.24572686350643,2.52483528581592
8.58113981225898e-05,2.74930561250844e-05,0.00154609346522715,7.41184456771471,2.77624962038296,7.24572686350643,2.52483528581592
8.5811384854653e-05,2.61668606055825e-05,0.0014185469675025,4.53065340113761,2.07936076528599,4.32625803096549,2.03868769053846
8.58114442192833e-05,6.37060436761322e-05,0.00113086678017231,3.58135931474733,3.11786506680717,3.42509814584677,2.95615142453382
8.56020792862263e-06,7.86501840911881e-05,0.00212763355254365,1.91200480476044,2.19476280127371,1.72323945997083,1.80474230543318
5.25043510189107e-05,2.76441663925173e-05,0.000925162694012501,4.17977101182579,6.36076173289594,3.97473656703048,6.06932178091345
8.58108953665146e-05,3.23710928483065e-05,0.00117280432492122,6.13834815294807,3.72505965684029,5.97022531905847,3.45738278568295
8.58116505695786e-05,3.461375452601e-05,0.00229930675278423,6.68837720797717,1.46347430526334,6.53344367497553,1.31190267541776
8.58116505695786e-05,3.461375452601e-05,0.00229930675278423,6.68837720797717,1.46347430526334,6.53344367497553,1.31190267541776
8.58106682782873e-05,3.12403702149412e-05,0.00226038800756898,7.85426455696835,1.48792495646772,7.70477170269456,1.28498868631754
8.56021639729707e-06,1.23496398801305e-06,0.00661077898321421,9.75668936452798,1.37895998464188,9.43260211078305,0.891669164140443
8.5602005853187e-06,4.91713554398993e-05,0.00585135734787572,3.2887719962919,0.845940813785507,3.10529598082091,0.51643713519868
8.5602005853187e-06,4.91713554398993e-05,0.00585135734787572,3.2887719962919,0.845940813785507,3.10529598082091,0.51643713519868
8.58111838554543e-05,1.8937757111936e-05,0.00156552216391645,8.00722522633205,3.55644821865098,7.81902995135183,3.32123319393993
8.58104647558182e-05,1.90936224011865e-05,0.00192111867129518,7.53671719460382,2.7081370825203,7.34498711740458,2.55698005182098
8.58104647558182e-05,1.90936224011865e-05,0.00192111867129518,7.53671719460382,2.7081370825203,7.34498711740458,2.55698005182098
8.58104647558182e-05,1.90936224011865e-05,0.00192111867129518,7.53671719460382,2.7081370825203,7.34498711740458,2.55698005182098
8.58111268836589e-05,2.16514711414521e-05,0.00236387814934221,8.5982429089456,1.90583713878751,8.42503529463893,1.72743702345587
5.25043485187718e-05,2.02006025487819e-05,0.000622930762628066,8.4789450157055,3.5618049445498,8.30065737464376,3.02174531385939
5.25043485187718e-05,2.02006025487819e-05,0.000622930762628066,8.4789450157055,3.5618049445498,8.30065737464376,3.02174531385939
8.58105108814433e-05,2.74756582953317e-05,0.00138080849482756,7.68483328196159,2.89734082645404,7.52166044045307,2.6106788185661
8.58100314882471e-05,4.15580890581271e-05,0.00183764921893834,5.3387118268886,1.87626470231701,5.17986072883957,1.73573604554277
8.58100314882471e-05,4.15580890581271e-05,0.00183764921893834,5.3387118268886,1.87626470231701,5.17986072883957,1.73573604554277
8.58104293207118e-05,4.99753581510459e-05,0.00242898192044789,5.95206761086199,0.8948275318289,5.82601501809895,0.735681503588848
8.56029056050491e-06,7.23892639993297e-05,0.00131296295091071,2.06141460903637,2.63335797728769,1.87210087333993,2.13086234324783
8.58098700141687e-05,2.57699949280636e-05,0.00121649284532207,7.64403932591985,3.45724247070991,7.47527824357448,3.14929770593905
8.56035457819508e-06,1.45300481302796e-05,0.00558895816107198,7.01201332528473,0.727051590700699,6.79827375182506,0.174899449875299
5.25043554086247e-05,5.57292821441505e-05,0.000256598791917553,3.69958734536838,6.53457127964974,3.5360609523829,5.99862544498029
5.25043554086247e-05,5.57292821441505e-05,0.000256598791917553,3.69958734536838,6.53457127964974,3.5360609523829,5.99862544498029
8.56015455065823e-06,3.59836665284569e-05,0.00258033672221293,2.86627942858112,2.09344610643691,2.65322470550584,1.65060500984717
8.56015455065823e-06,3.59836665284569e-05,0.00258033672221293,2.86627942858112,2.09344610643691,2.65322470550584,1.65060500984717
5.25043516535733e-05,9.95843482855613e-06,0.0019285878047138,9.3368880807261,3.37386829120482,9.11851904432454,3.06850118655977
8.58101745339891e-05,5.40151149817518e-05,0.00100365534742757,3.56513473220543,4.25396382605968,3.39452713784796,4.09016894444392
8.58096800322759e-05,3.07487775939252e-05,0.00134263613736401,6.00111732245453,3.53609610254532,5.82735908048648,3.31534470221599
8.58096800322759e-05,3.07487775939252e-05,0.00134263613736401,6.00111732245453,3.53609610254532,5.82735908048648,3.31534470221599
8.58095735529903e-05,3.25006226229441e-05,0.000752290341725828,5.34063251862707,6.25388102991959,5.16209194481867,5.9348849946699
8.58095735529903e-05,3.25006226229441e-05,0.000752290341725828,5.34063251862707,6.25388102991959,5.16209194481867,5.9348849946699
8.58095735529903e-05,3.25006226229441e-05,0.000752290341725828,5.34063251862707,6.25388102991959,5.16209194481867,5.9348849946699
8.58125762867912e-05,3.3903187198337e-05,0.000663383893384866,5.66713885538294,5.8367310144224,5.49637027343371,5.47175526923582
8.58125762867912e-05,3.3903187198337e-05,0.000663383893384866,5.66713885538294,5.8367310144224,5.49637027343371,5.47175526923582
8.58125762867912e-05,3.3903187198337e-05,0.000663383893384866,5.66713885538294,5.8367310144224,5.49637027343371,5.47175526923582
8.56011065520219e-06,2.97182441834586e-05,0.00196011234315539,2.16738746066595,3.95559609022251,1.9272146820055,3.59282106304589
8.58091913573157e-05,5.93268665241208e-05,0.00186973657768449,5.32021795312564,0.977184595620385,5.20533648131881,0.782300650758888
8.58094171286344e-05,2.99149282522975e-05,0.000975379158365622,6.61350321693347,4.19449811839306,6.44506022771539,3.87416013505138
8.5600145285093e-06,5.69340129199406e-05,0.00232727258383683,2.44351300781508,1.94025910577358,2.24945491181102,1.5075169327043
8.58097222958968e-05,4.28060995301401e-05,0.00215449417237378,5.69291246161017,1.3881086424843,5.54296088293803,1.25246532788886
8.56046219105514e-06,6.17236451306173e-05,0.00518126272038835,2.21596556294293,1.13326674154233,2.02090812948745,0.920007038565959
8.58095868981042e-05,2.69170431355752e-05,0.00210645715431972,7.13270702661056,1.99875701587112,6.96183887426105,1.8419370490742
8.58094368234621e-05,2.76425553536627e-05,0.00241410845636907,7.04435861732474,1.53607100443457,6.87462893895078,1.41356265074012
8.58092271466997e-05,6.39220415873115e-05,0.000155299299702901,3.98216973338248,7.71618719542972,3.83682640119899,7.17503080403206
8.58092271466997e-05,6.39220415873115e-05,0.000155299299702901,3.98216973338248,7.71618719542972,3.83682640119899,7.17503080403206
8.56048845736717e-06,2.92074475755375e-05,0.00474847697539958,5.83854558378679,0.57820010133579,5.65876352993078,0.0486880837227748
8.5808970411e-05,2.36285976869136e-05,0.00123674871625209,7.6379031200035,3.7665670588288,7.46239490732032,3.46989875547328
8.58086911179716e-05,4.02443550425104e-05,0.00187722645879659,6.28595654032743,1.70143992000888,6.13973391431303,1.50565023713748
8.58078376326753e-05,4.68098363591945e-05,0.00105874143059686,4.13499209679947,4.18545871778947,3.96482559491857,3.99542885974139
8.58078376326753e-05,4.68098363591945e-05,0.00105874143059686,4.13499209679947,4.18545871778947,3.96482559491857,3.99542885974139
8.58078376326753e-05,4.68098363591945e-05,0.00105874143059686,4.13499209679947,4.18545871778947,3.96482559491857,3.99542885974139
5.25043541764699e-05,1.65078691487848e-05,0.00227589036138007,8.40611751813936,2.32543554351295,8.21308788786895,2.04638384854579
8.58080390028068e-05,3.41047542477348e-05,0.0017032471975511,5.86346484928345,2.43193874963699,5.69588013717411,2.26460920783232
5.25043479083144e-05,4.27898846728122e-05,0.000965201913774177,4.41791819522232,3.84535681493292,4.24752902172497,3.50879953450527
5.25043479083144e-05,4.27898846728122e-05,0.000965201913774177,4.41791819522232,3.84535681493292,4.24752902172497,3.50879953450527
5.2504366689446e-05,3.96376122029673e-05,0.000544267996899057,3.05775256306123,9.788229268536,2.8558490800321,9.44130265814803
5.2504366689446e-05,3.96376122029673e-05,0.000544267996899057,3.05775256306123,9.788229268536,2.8558490800321,9.44130265814803
5.2504366689446e-05,3.96376122029673e-05,0.000544267996899057,3.05775256306123,9.788229268536,2.8558490800321,9.44130265814803
8.58153040596785e-05,4.2913728742506e-05,0.00106474647772701,5.38359360002958,3.39091307922934,5.22836271602715,3.12194939610479
5.25043454036954e-05,1.89435560948659e-05,0.000704481720384162,6.8111730753592,5.24976590981149,6.61338171637466,4.7704435455711
8.58095024456771e-05,5.10567101496902e-05,0.000571584445436951,5.73930516311266,2.72996204551262,5.61077058856453,2.34794831873177
8.58072325090819e-05,4.84704800869365e-05,0.00103433812424628,4.44397549331245,3.89595100653859,4.28288241094364,3.66785967367255
5.25043591686678e-05,7.9979181567648e-05,0.000766763412414624,1.99240741489214,6.0990860212681,1.80891544534069,5.92032118968871
8.58088113447356e-05,4.25093674002103e-05,0.00146234238698446,5.40918031119871,2.52739946502472,5.25357225249601,2.3242377367643
8.58088113447356e-05,4.25093674002103e-05,0.00146234238698446,5.40918031119871,2.52739946502472,5.25357225249601,2.3242377367643
8.58088113447356e-05,4.25093674002103e-05,0.00146234238698446,5.40918031119871,2.52739946502472,5.25357225249601,2.3242377367643
5.25043485146513e-05,4.54404450163107e-05,0.000913798230749454,3.53822372953317,5.17199562615642,3.35536028999095,4.8890329781577
5.25043485146513e-05,4.54404450163107e-05,0.000913798230749454,3.53822372953317,5.17199562615642,3.35536028999095,4.8890329781577
5.25043485146513e-05,4.54404450163107e-05,0.000913798230749454,3.53822372953317,5.17199562615642,3.35536028999095,4.8890329781577
8.55982104762684e-06,1.54106007716225e-05,0.00231912093726594,4.56751149148717,2.04189061220418,4.33230271847332,1.47544204673308
