cohort.lower.bound,cohort.upper.bound,age,diag.year.lower.bound,diag.year.upper.bound,ir.mean,ir.sd,size,num
1915,1919,54,1969,1973,60.3003420884792,NaN,48.66390769,386153000000
1915,1919,55,1970,1974,90.0897967798036,8.02566884994102,48.360970812,379036600000
1915,1919,56,1971,1975,97.6353857032353,2.4816755555366,48.126275082,373721800000
1915,1919,57,1972,1976,103.836094351624,9.15317314953252,47.813857592,366573400000
1915,1919,58,1973,1977,109.654086456465,8.66561275931631,47.519670906,359652400000
1915,1919,59,1974,1978,123.321685873434,7.05650429550134,47.460037856,358248200000
1915,1919,60,1975,1979,143.150720587782,8.39014630012501,47.429511798,357555600000
1915,1919,61,1976,1980,165.989534511633,17.2679915479964,47.966926028,370119200000
1915,1919,62,1977,1981,169.895541612342,17.6649296983032,48.251535038,376612200000
1915,1919,63,1978,1982,186.736743610982,25.2942983017535,47.77232752,366219800000
1915,1919,64,1979,1983,211.943775836569,29.2914046403608,47.731868118,365276800000
1915,1919,65,1980,1984,221.807742634816,8.9891434934871,47.288606972,355714200000
1915,1919,66,1981,1985,249.08575079392,14.3620043224218,46.644081994,340811800000
1915,1919,67,1982,1986,279.076489871217,13.6240506639696,46.700362056,342142000000
1915,1919,68,1983,1987,319.184962209241,15.7014940043308,46.678794894,341699200000
1915,1919,69,1984,1988,320.488676761939,26.9552727303716,46.234254792,331852600000
1915,1919,70,1985,1989,343.994957992264,22.9121049155521,46.431730056,336000000000
1915,1919,71,1986,1990,346.978170151459,15.0993612678529,46.359906954,334461600000
1915,1919,72,1987,1991,380.320212161932,37.1835026960467,45.875123548,323501800000
1915,1919,73,1988,1992,411.103756631055,42.1859109599525,46.044892504,327044400000
1915,1919,74,1989,1993,391.791290844749,43.1439921693625,46.106305406,328349600000
1915,1919,75,1990,1994,404.282809317877,26.9974706921917,46.077875276,327741400000
1915,1919,76,1991,1995,446.965559080421,28.0166709656409,46.094565726,328096800000
1915,1919,77,1992,1996,420.532691083331,25.395944767225,46.001361758,326116600000
1915,1919,78,1993,1997,418.688868441114,9.27420417739154,45.86179507,323194600000
1915,1919,79,1994,1998,446.05106644262,20.6765099174502,45.632426582,318408600000
1915,1919,80,1995,1999,459.724900855219,41.2053211918162,45.372997572,313030400000
1915,1919,81,1996,2000,475.311526940773,44.7277198810192,45.084492116,307067400000
1915,1919,82,1997,2001,473.227318527311,31.9723005388075,44.770214606,300682200000
1915,1919,83,1998,2002,505.813853931744,53.34293884069,44.500611992,295287600000
1915,1919,84,1999,2003,471.522238909258,55.7108287240509,44.093590868,287376200000
1915,1919,85,2000,2004,96.8352450263082,10.4111623271969,43.462290928,275536600000
1920,1924,49,1969,1973,36.1621339913424,NaN,48.66390769,386153000000
1920,1924,50,1970,1974,44.4608683597642,0.965657617285946,48.360970812,379036600000
1920,1924,51,1971,1975,47.9756655453176,9.91251420888146,48.126275082,373721800000
1920,1924,52,1972,1976,48.9723093055843,5.16527908489593,47.813857592,366573400000
1920,1924,53,1973,1977,58.4196240381175,6.82245607207777,47.519670906,359652400000
1920,1924,54,1974,1978,74.969746696772,8.65708276039796,47.460037856,358248200000
1920,1924,55,1975,1979,81.9733018777153,12.6827470113398,47.429511798,357555600000
1920,1924,56,1976,1980,94.1572997817582,13.3138279029941,47.966926028,370119200000
1920,1924,57,1977,1981,100.842345981407,19.9571350628374,48.251535038,376612200000
1920,1924,58,1978,1982,126.534215176975,12.8724057490521,47.77232752,366219800000
1920,1924,59,1979,1983,137.627005984947,8.15441752095683,47.731868118,365276800000
1920,1924,60,1980,1984,149.894969065595,4.69218957288125,47.288606972,355714200000
1920,1924,61,1981,1985,167.561106089682,20.8855088453576,46.644081994,340811800000
1920,1924,62,1982,1986,181.682646500624,14.7888283194172,46.700362056,342142000000
1920,1924,63,1983,1987,215.523776523542,9.40035926017816,46.678794894,341699200000
1920,1924,64,1984,1988,222.134098649434,21.0736025561416,46.234254792,331852600000
1920,1924,65,1985,1989,241.98977062926,18.7952504254291,46.431730056,336000000000
1920,1924,66,1986,1990,261.243493913464,25.3564857709726,46.359906954,334461600000
1920,1924,67,1987,1991,267.875880753617,13.157933250001,45.875123548,323501800000
1920,1924,68,1988,1992,291.415414337095,16.7530719825637,46.044892504,327044400000
1920,1924,69,1989,1993,293.770496219355,8.99146603181959,46.106305406,328349600000
1920,1924,70,1990,1994,306.49048999161,13.7251849366009,46.077875276,327741400000
1920,1924,71,1991,1995,318.556172957021,30.3142846855937,46.094565726,328096800000
1920,1924,72,1992,1996,327.427263913716,28.608082149082,46.001361758,326116600000
1920,1924,73,1993,1997,354.331051287026,26.0684100027446,45.86179507,323194600000
1920,1924,74,1994,1998,347.099464980475,18.5409400052546,45.632426582,318408600000
1920,1924,75,1995,1999,360.936052907649,18.9802285036147,45.372997572,313030400000
1920,1924,76,1996,2000,406.512815605918,6.56089691837704,45.084492116,307067400000
1920,1924,77,1997,2001,404.16103475062,12.5017188461567,44.770214606,300682200000
1920,1924,78,1998,2002,415.196581865058,14.7685732962948,44.500611992,295287600000
1920,1924,79,1999,2003,414.154211905777,25.1830586942895,44.093590868,287376200000
1920,1924,80,2000,2004,420.319838387336,34.7967107309405,43.462290928,275536600000
1920,1924,81,2001,2005,417.661886668473,30.5391438113553,43.041912742,267512800000
1920,1924,82,2002,2006,419.323167237305,26.1299087365103,42.724425828,261507400000
1920,1924,83,2003,2007,398.509782410378,36.5910655052313,42.154263982,251144000000
1920,1924,84,2004,2008,417.398969658452,44.6523862894966,42.011071482,248532600000
1920,1924,85,2005,2009,78.5516266822903,5.72021337375917,42.185028016,251623400000
1925,1929,44,1969,1973,17.7882530823707,NaN,48.66390769,386153000000
1925,1929,45,1970,1974,20.8247406364316,5.96398941282155,48.360970812,379036600000
1925,1929,46,1971,1975,23.0341255405226,1.14454290823789,48.126275082,373721800000
1925,1929,47,1972,1976,33.2920571104851,2.05110368696616,47.813857592,366573400000
1925,1929,48,1973,1977,36.0642572182376,6.52496163618017,47.519670906,359652400000
1925,1929,49,1974,1978,37.59515339439,2.16786228194099,47.460037856,358248200000
1925,1929,50,1975,1979,44.1162961971195,4.65539334436396,47.429511798,357555600000
1925,1929,51,1976,1980,52.8975363037285,8.2725223649914,47.966926028,370119200000
1925,1929,52,1977,1981,64.176903686768,8.40744690659676,48.251535038,376612200000
1925,1929,53,1978,1982,65.338879311358,7.38157681712835,47.77232752,366219800000
1925,1929,54,1979,1983,76.780244446941,8.81670036098411,47.731868118,365276800000
1925,1929,55,1980,1984,83.8436281426117,6.5588223855739,47.288606972,355714200000
1925,1929,56,1981,1985,95.5010921079642,11.3064400434211,46.644081994,340811800000
1925,1929,57,1982,1986,111.703644890473,11.1889458782274,46.700362056,342142000000
1925,1929,58,1983,1987,129.75419194889,14.9412019154088,46.678794894,341699200000
1925,1929,59,1984,1988,138.607102144406,16.1024800116338,46.234254792,331852600000
1925,1929,60,1985,1989,159.814679182404,17.9558806055247,46.431730056,336000000000
