muN,mu1,mu2,mu3,alpha1,alpha2,alpha3,beta1,beta2,beta3
3.71331199235722e-05,2.83447342713457e-05,0.001628863246461,0.110531755468622,1.42149805474795,8.28644015584042,8.84817923806704,1.21880510738902,0.847441905912139,0.855410079394792
8.38818036107991e-05,1.40258372665388e-05,0.00134419442634911,0.083758455023076,9.55080250804573,1.24897919241575,0.122490037410049,9.25373056158446,0.574774850028531,0.00675585386561514
8.38833048375866e-05,1.86414465154424e-05,0.00166352519054748,0.0183055264843059,8.321288979908,1.42478357226332,0.809014363493745,8.03429309464517,0.826686492225363,0.256814336645143
8.38799408006494e-05,1.79553388052568e-05,0.00534405173568821,0.00279833324830746,7.88861267314386,1.29583570590489,4.86346834247471,7.59534290027721,1.01816798731525,4.48860474536476
8.38839195246852e-05,3.29669768203832e-05,0.000959276849460424,0.0278033647842447,8.32399184509576,6.84578260926801,0.352428876400478,8.07806451434244,6.67691781239967,4.56584662582138e-05
8.38807142457597e-05,1.14963476803649e-05,0.000326391294168989,0.00759625537524793,7.90537000542672,8.22022829343373,1.77471886218963,7.58269617378604,7.63503435297913,1.08559603787914
8.38773675683359e-05,1.86157049224873e-05,0.00204819381932858,0.00265080991844488,9.65790532648392,3.45912042438368,2.65507886571725,9.38110250317501,3.2764760962788,2.01466454361496
8.38811852908521e-05,4.56506879875701e-06,0.00290764198543692,0.0149961929160025,5.55665907910872,2.64893334469037,0.66782340729687,5.15523963245045,2.51945436581534,0.0306281872475456
8.38811852908521e-05,4.56506879875701e-06,0.00290764198543692,0.0149961929160025,5.55665907910872,2.64893334469037,0.66782340729687,5.15523963245045,2.51945436581534,0.0306281872475456
8.38879891287436e-05,6.36130525196346e-05,0.00136373493014254,0.0232313056829809,7.99983833762275,3.56776978770353,0.282304331041179,7.80610905640985,3.4649451685901,0.000171897114490959
8.38879891287436e-05,6.36130525196346e-05,0.00136373493014254,0.0232313056829809,7.99983833762275,3.56776978770353,0.282304331041179,7.80610905640985,3.4649451685901,0.000171897114490959
8.38865730852594e-05,4.16691200246947e-05,0.00189742607238842,0.0339248005736721,8.07382512988867,2.79854788077413,0.229844310166531,7.84400729406984,2.70905341166771,2.54060070943554e-05
8.38601087959589e-05,6.87568054535672e-05,0.00251503043068152,0.0545423647820642,0.925550138734991,2.03345071733825,0.144513345166008,0.580160629297072,1.99519336734565,0.0142961106120525
8.38990252670656e-05,2.02761059532902e-05,0.00517994790151682,0.0544213076457135,4.0304411458146,1.3719644609779,0.201011444044337,3.70103936891735,1.25002569955271,0.000148484405316479
8.39038662818893e-05,2.5765403836358e-05,0.00174669098057488,0.0273318566896663,6.3411176639365,3.97525306411639,0.396293759714987,6.05775347255535,3.83234588557157,0.000425997372697725
8.38508431835734e-05,4.47451485474223e-05,0.00151229975164204,0.00766638521136682,6.48792977005142,4.12141003908833,0.651552067283815,6.24637825104834,3.98685468348647,0.0087722684024969
8.39358279914532e-05,2.68259173813882e-05,0.00252604674118568,0.0293899017241506,9.67854973501551,2.27133012442785,0.307044804333398,9.42860184662903,2.17655758084737,0.000206009010666833
8.38174335298652e-05,1.83453641167483e-05,0.00226236985113192,0.00738233425699486,9.33807681802821,2.90520535373718,0.708728420361056,9.05791335741822,2.78720498814284,0.00386371699147157
8.38174335298652e-05,1.83453641167483e-05,0.00226236985113192,0.00738233425699486,9.33807681802821,2.90520535373718,0.708728420361056,9.05791335741822,2.78720498814284,0.00386371699147157
8.34962779639349e-06,2.90894064549542e-05,0.00100656354690383,0.0454590003530123,9.04275399990881,1.1387823767077,0.320926683287684,8.79357250325334,0.423845142406255,0.061928455925321
8.39558041209853e-05,1.33174956550561e-05,0.00868650038690971,0.0395133869343071,9.18585922381788,0.488739514044288,0.244246460755012,8.88287567420079,0.458213174869011,0.000201623195071832
8.36658586161449e-05,3.69655225123832e-05,0.00219729020805589,0.00322530821833204,9.46845629534974,1.44096494899306,3.77237291809084,9.24159080766593,0.956149534174739,3.4182074511823
8.39755518967668e-05,4.65103776278281e-05,0.00402146231259326,0.0398700857017308,5.84851978222485,1.03153756948284,0.177883923751318,5.60217382867058,0.991285647090115,7.80477316661618e-05
8.34227564951456e-05,1.48651727856601e-05,0.00121809537693722,0.00129143911844774,9.10542560491868,6.0198581258097,6.22725915705968,8.80868796572785,5.84076666337272,5.59941953091998
8.34227564951456e-05,1.48651727856601e-05,0.00121809537693722,0.00129143911844774,9.10542560491868,6.0198581258097,6.22725915705968,8.80868796572785,5.84076666337272,5.59941953091998
8.34227564951456e-05,1.48651727856601e-05,0.00121809537693722,0.00129143911844774,9.10542560491868,6.0198581258097,6.22725915705968,8.80868796572785,5.84076666337272,5.59941953091998
8.30043819398647e-06,3.35305153175882e-05,0.00354173868198426,0.00150827633644201,6.09204282365892,1.07509807465028,1.51573647283692,5.82378755297757,0.597431884586494,0.337251029978246
8.34455100164624e-06,2.52817057856075e-05,0.00222607981769339,0.00119671059794749,8.50099048945416,1.17477194412802,2.59968125757999,8.23709403417581,0.607889390589731,1.49502444586094
8.37717989421861e-06,1.21411327844538e-05,0.000336185368072399,0.0632565272483515,8.50070623123529,7.97189297142768,0.231990056797132,8.18656219764516,7.38956592620501,0.0469245216970641
8.42093183204522e-05,4.95650666261655e-05,0.00158237748157196,0.0589492384055311,0.966960956473946,2.26211106346446,0.132316721936202,0.604566541255683,2.26207083107569,0.000453729721735096
8.42093183204522e-05,4.95650666261655e-05,0.00158237748157196,0.0589492384055311,0.966960956473946,2.26211106346446,0.132316721936202,0.604566541255683,2.26207083107569,0.000453729721735096
8.42093183204522e-05,4.95650666261655e-05,0.00158237748157196,0.0589492384055311,0.966960956473946,2.26211106346446,0.132316721936202,0.604566541255683,2.26207083107569,0.000453729721735096
8.30281989582701e-06,2.15048208003281e-05,0.00255772632965262,0.0179165934792021,8.94525432516259,1.51014872889992,0.778503142508587,8.67240514819892,1.04171375424411,0.322357715258985
7.96849626072293e-06,3.12026266851656e-05,0.00336183988125855,0.000497747376502603,3.39884788344536,2.24881061551792,5.98733075723647,3.08397865903584,2.06475010845697,4.99115028991016
7.96849626072293e-06,3.12026266851656e-05,0.00336183988125855,0.000497747376502603,3.39884788344536,2.24881061551792,5.98733075723647,3.08397865903584,2.06475010845697,4.99115028991016
8.51769477062651e-05,5.78982480087468e-05,0.00173062996036529,0.0631979207384539,1.17175570053752,1.96259775257765,0.0887931519961108,0.832346275620462,1.96224650152545,0.000320681041265594
6.8536042402831e-06,5.33119910020226e-06,0.000712405191634991,0.0180604035507646,1.17419026165422,2.51326937632005,1.39999783667397,0.681253816634629,1.81946883569185,1.00527789299167
6.8536042402831e-06,5.33119910020226e-06,0.000712405191634991,0.0180604035507646,1.17419026165422,2.51326937632005,1.39999783667397,0.681253816634629,1.81946883569185,1.00527789299167
8.54856005899051e-05,9.95526923444563e-05,0.00248796813483703,0.000191630309886646,1.4063406979736,1.13845339044593,1.57024520654609,1.11504803580195,1.13840670516,0.177132510614383
8.54856005899051e-05,9.95526923444563e-05,0.00248796813483703,0.000191630309886646,1.4063406979736,1.13845339044593,1.57024520654609,1.11504803580195,1.13840670516,0.177132510614383
9.97855602140455e-06,1.52651973163886e-05,0.00138860918247054,0.0100613115891993,3.39539372210061,3.10324140154786,1.88151081248851,3.04960433034849,2.62617077404157,1.40854620571089
7.95797202126746e-05,7.76250972132877e-05,0.00114053765073703,4.82982480114169e-05,0.837627655943071,3.86855787519235,2.27127172141264,0.494534640590444,3.85018996753209,0.450295444884856
9.07673073090934e-05,4.87497127413953e-05,0.000690595197613947,0.0766797571338595,1.06009556033129,4.56233484861452,0.0914954106534533,0.707358911452951,4.56184668359142,0.000211972466941767
8.5571113320905e-05,8.31889523756143e-05,0.00159958315168602,3.8903280973375e-05,1.94219861818403,1.26192838392051,1.8600593212156,1.65665359169967,1.26192933289488,0.171316804044253
9.36795970700641e-05,6.30299531466542e-05,0.00122277717467587,8.08813970018182e-05,1.76600365647123,3.86196408711767,2.36533624919921,1.4656541903484,3.81533713319227,0.660315570559544
9.36795970700641e-05,6.30299531466542e-05,0.00122277717467587,8.08813970018182e-05,1.76600365647123,3.86196408711767,2.36533624919921,1.4656541903484,3.81533713319227,0.660315570559544
8.63180374065125e-05,7.70162937760401e-05,0.000654898406171788,1.96595252567301e-05,1.44412312080134,3.26125084012242,2.59215519964732,1.13708338485245,3.26120765881893,0.610580170554355
8.78419104386268e-05,5.77150452883846e-05,0.000739901165029158,0.000199799759386932,0.986696493714049,5.8805102943806,3.67686880564442,0.636261013630071,5.81438980565359,2.06442758884003
8.78419104386268e-05,5.77150452883846e-05,0.000739901165029158,0.000199799759386932,0.986696493714049,5.8805102943806,3.67686880564442,0.636261013630071,5.81438980565359,2.06442758884003
8.93501713213164e-05,8.82158706324236e-05,0.0013551508619423,8.24636806412529e-05,2.34529566745073,1.61590812803528,2.54919072356283,2.08055914876359,1.60497717093228,0.841669073165329
8.87385628750463e-05,8.53613234164811e-05,0.00086404726166074,1.65850325411298e-05,1.57808534272338,3.19925283523143,3.31213394974604,1.28973042199681,3.19871104292366,1.17599591997638
9.03590797227619e-05,8.55718102353682e-05,0.00158314381060727,7.61863167925461e-05,2.29931760550449,1.39942159273789,2.90518789678726,2.03544170355486,1.39448964274505,1.17029116087226
9.03590797227619e-05,8.55718102353682e-05,0.00158314381060727,7.61863167925461e-05,2.29931760550449,1.39942159273789,2.90518789678726,2.03544170355486,1.39448964274505,1.17029116087226
8.8941163298342e-05,9.15518353053451e-05,0.000628019400781188,2.16950336094793e-05,1.28523684809102,3.19814508810284,3.69386387469368,0.98378764822735,3.19811965511217,1.46082719677673
5.25015931984058e-05,7.37293806073279e-05,0.00109363880271484,8.8180242889324e-07,2.13826070610039,1.95427548073612,2.51578650327111,1.8669965970045,1.95423011742159,0.0593557058905449
5.24992172451356e-05,9.49876783641146e-05,0.000871627249297791,5.90790525548889e-05,0.834502479999376,3.53310619716764,1.87638370884354,0.523777620532733,3.529046433517,0.111288093366647
8.89458944110322e-05,4.92508275392188e-05,0.00174909584097428,3.20433529317134e-05,2.04639663940067,1.96768272854257,3.37812354122092,1.74010355622568,1.94927688299539,1.07928195100227
9.56914686194325e-05,4.86477221742874e-05,0.00150373727316095,1.17147914998029e-05,3.58133626856503,1.58475058304197,2.82979406162623,3.31472272114528,1.5844348195879,0.601530662840829
9.56914686194325e-05,4.86477221742874e-05,0.00150373727316095,1.17147914998029e-05,3.58133626856503,1.58475058304197,2.82979406162623,3.31472272114528,1.5844348195879,0.601530662840829
5.2503939999544e-05,9.291466818685e-05,0.000739338265914435,2.56968608287556e-05,1.43750985917521,4.10357458390563,2.49879424258575,1.14985515695141,4.08939820801507,0.170567307326575
8.80620541844603e-05,7.44882191979234e-05,0.00101451556843363,0.000368950531033744,2.90038481949546,1.46611444518638,1.8766053944791,2.64079735365689,1.46601319722345,0.157995603728001
8.80620541844603e-05,7.44882191979234e-05,0.00101451556843363,0.000368950531033744,2.90038481949546,1.46611444518638,1.8766053944791,2.64079735365689,1.46601319722345,0.157995603728001
8.98499880815268e-05,7.94829577928037e-05,0.00087354184630545,0.000627495053729379,1.12133830288151,8.01942409537656,2.80188516763884,0.810800064614143,7.88222160723944,1.0648130486775
9.5135426627261e-05,8.73192766563593e-05,0.00369947369143612,4.56551575960365e-05,6.38615475172077,0.585050287149108,1.90144566839747,6.20701995496822,0.527467373360255,0.202523529503869
8.86242267721527e-05,8.76015384862084e-05,0.000726347419647349,3.91682970464822e-05,2.78816076140921,5.49918495291702,3.60049245497266,2.53774773901614,5.40961015250773,1.20933547712318
9.18440590304188e-05,9.43644841633348e-05,0.0011813076198783,8.90692717256633e-06,2.10019611746273,1.23914786018142,3.38031692401606,1.83658865908732,1.23914659079296,0.861776637889575
9.2198939960825e-05,4.92821786042122e-05,0.000851947531493388,4.95954881854316e-05,3.06458898185612,2.87981728958703,2.30873612371305,2.78502265627901,2.86855286458102,0.0293899656705368
8.61836201629581e-05,8.46772061541075e-05,0.00092015170020448,5.26584583370427e-05,2.87223615845,3.92369462451009,2.55366561013784,2.62335538893088,3.87338920531256,0.0752324248123656
8.61836201629581e-05,8.46772061541075e-05,0.00092015170020448,5.26584583370427e-05,2.87223615845,3.92369462451009,2.55366561013784,2.62335538893088,3.87338920531256,0.0752324248123656
8.96433690170964e-05,8.6823816140112e-05,0.00197527050989609,0.000165932700639308,4.10117242703455,1.15834974328478,2.01823887209558,3.8847540322886,1.1391451110233,0.177873630616633
8.89076548450703e-05,9.20944425642279e-05,0.00135756933430887,2.61677987325143e-05,3.69840071676249,1.62386667992832,3.30741305448814,3.47449266042416,1.59822502982881,0.828643669304101
9.58728208428635e-05,8.3579766447872e-05,0.00137601492093111,0.0236368942428357,3.03416781916539,1.55916004806061,0.668087524375337,2.79270353313112,1.55256903736001,0.00117012373007458
9.12910454026092e-05,5.12294764228053e-05,0.00193637990534575,0.000301491164258005,4.14373583040067,0.661154155835855,2.16440660254825,3.88365943870604,0.660670066479464,0.225223090577175
5.25032577449055e-05,9.7972797432969e-05,0.000649874761787092,0.00153767996074839,1.10940921953404,2.93373073785979,1.56288951361179,0.808430249651305,2.93351716874684,0.00166085007711073
9.08594654722017e-05,6.24674383638957e-05,0.000712143776462105,2.46868009988769e-05,2.67777465470249,4.70143016844898,2.83673201728203,2.40508856536603,4.66795841957967,0.0347498205860806
8.81185415708828e-05,7.13714381401537e-05,0.00131729956144749,0.000103616291707499,3.6532685132124,1.99746621509812,3.83454799413234,3.4076995837786,1.95120565805782,1.47904897631048
9.70686261513376e-05,5.1564347069098e-05,0.00119470279337233,2.21421272999256e-05,2.98472939026595,1.61069184164339,3.31801355668966,2.71054427847457,1.61031322829788,0.898229268211828
9.45366020178749e-05,6.10620121979557e-05,0.000926805059646372,6.32317959982958e-05,1.34284746631004,3.6257398677896,5.46211184557024,1.02196499416099,3.57914729808118,2.95768654389385
8.31237709378697e-05,3.46042129378708e-05,0.0019822840803697,2.01107112239034e-05,2.25480584288305,1.90743553873826,5.14490468728359,1.92922225818878,1.87489887418711,2.05392608531151
8.86254034561256e-05,5.67603523188814e-05,0.000865903741337323,0.00142749862829575,1.87360898938426,5.1557467255941,3.04811820259928,1.56736054001384,5.06274086023559,1.15913601616166
