muN,mu1,mu2,alpha1,alpha2,beta1,beta2
1.61177656050667e-05,3.1886801659385e-05,0.00294314413013676,3.6394231631751,0.360237415019909,3.45494483415487,0.0981070451882089
5.24918289331613e-05,6.26636503198285e-05,0.00421370023071458,6.40706597996096,0.351939431481667,6.27594712090785,0.227284463376454
5.24918289331613e-05,6.26636503198285e-05,0.00421370023071458,6.40706597996096,0.351939431481667,6.27594712090785,0.227284463376454
6.84791429319773e-05,4.49180477489714e-05,0.00308754501288308,8.56756048818752,0.462149555032556,8.43307390340165,0.299666347292641
6.8483551764016e-05,3.83537242896458e-05,0.00331944089282997,9.20327044648908,0.464976199252554,9.06169975881761,0.316587371997742
6.83272698077376e-05,3.47915548513555e-05,0.00117859250686066,9.68621382398072,0.640791266810424,9.54144599937668,0.361808932549898
6.85629226142244e-05,5.30580745748581e-05,0.00385191538573869,8.59279235260976,0.323742602386076,8.47282554655021,0.150230111512515
5.24919717265579e-05,6.32014987415932e-05,0.00173048212555204,6.33123187509952,0.564208701319934,6.19976850950396,0.336916994548828
5.24919717265579e-05,6.32014987415932e-05,0.00173048212555204,6.33123187509952,0.564208701319934,6.19976850950396,0.336916994548828
6.84799825142969e-05,4.40832614514505e-05,0.00393536895717593,8.54353353804111,0.398425949033632,8.40711878346749,0.27530307399326
5.24924935881009e-05,4.7218354638343e-05,0.00210464692249668,7.61806154839464,0.535301935580899,7.47743380433243,0.321025462179894
6.84829584555016e-05,7.79135076360785e-05,0.00121073872391778,6.57620047505627,0.533426426318152,6.46801819204448,0.274592376501095
6.84829584555016e-05,7.79135076360785e-05,0.00121073872391778,6.57620047505627,0.533426426318152,6.46801819204448,0.274592376501095
6.84803585776338e-05,4.13588479577117e-05,0.00309356500430851,8.7557147746131,0.487845930277791,8.61621232686238,0.334994370134832
6.84810160007857e-05,5.63308957017131e-05,0.00314803005131684,7.51270073005047,0.451847511052526,7.38594072096082,0.304488316043598
6.84835118526459e-05,5.37153652774515e-05,0.00278988052783095,7.68091622931023,0.497416426628787,7.5519314848623,0.337083747820231
5.2491841905474e-05,4.4211167448233e-05,0.00364623206463329,7.22257041914653,0.445042266187763,7.07431660133307,0.324196900142192
6.83141014673096e-05,3.33532853701157e-05,0.00323849614816766,9.56024175473165,0.501315513436886,9.41115215793815,0.35918200839565
6.83141014673096e-05,3.33532853701157e-05,0.00323849614816766,9.56024175473165,0.501315513436886,9.41115215793815,0.35918200839565
6.84526493703494e-05,6.11165597835874e-05,0.00378809125886455,7.05102659796888,0.389398893198766,6.92582905911751,0.276649134476586
6.84678227959658e-05,3.54688203577707e-05,0.00208303561275237,9.50095544381074,0.651496648624362,9.35574004116622,0.462794918427243
6.84678227959658e-05,3.54688203577707e-05,0.00208303561275237,9.50095544381074,0.651496648624362,9.35574004116622,0.462794918427243
6.84678227959658e-05,3.54688203577707e-05,0.00208303561275237,9.50095544381074,0.651496648624362,9.35574004116622,0.462794918427243
6.84686673073635e-05,4.53788315566001e-05,0.00382635700576209,8.13940846731425,0.412394936644586,8.0014758979628,0.304197012143309
6.84686673073635e-05,4.53788315566001e-05,0.00382635700576209,8.13940846731425,0.412394936644586,8.0014758979628,0.304197012143309
6.84613584010694e-05,5.31125012291573e-05,0.00337322407118266,7.46847313009263,0.454777089547986,7.3362004854638,0.335564032674567
6.84613584010694e-05,5.31125012291573e-05,0.00337322407118266,7.46847313009263,0.454777089547986,7.3362004854638,0.335564032674567
5.24918358243145e-05,2.85587157430817e-05,0.00227419437537432,8.6237717311997,0.613654321440717,8.45757893941155,0.413965621900821
6.95930581551589e-05,5.30588589357987e-05,0.00397011037608469,7.76288518481837,0.37889416130473,7.6344721947695,0.261336619557196
6.84824590305097e-05,3.86189115073249e-05,0.00347532238041371,8.70587409456094,0.471176916793223,8.5608788197017,0.356291310808076
6.84824590305097e-05,3.86189115073249e-05,0.00347532238041371,8.70587409456094,0.471176916793223,8.5608788197017,0.356291310808076
5.24918338301662e-05,3.08804064659816e-05,0.00188543177308282,8.19532298404909,0.743949822877192,8.03066250393308,0.547185844203485
6.84733860431034e-05,5.61272500702203e-05,0.00268650831538804,7.21641859178942,0.542204785196175,7.08586294560969,0.395529978031095
6.84733860431034e-05,5.61272500702203e-05,0.00268650831538804,7.21641859178942,0.542204785196175,7.08586294560969,0.395529978031095
5.24917788991658e-05,2.71919428407453e-05,0.00210077856037676,8.63457669943002,0.707531782622039,8.46515181734678,0.518945529415961
5.24918370636975e-05,5.32659290451853e-05,0.00242003633945767,6.49374816894856,0.587213937852643,6.35087373038441,0.417733119740848
5.24918368923834e-05,4.79661284344976e-05,0.00377029524188885,6.76435738570184,0.420701129141344,6.61672053577498,0.325891248418914
6.84884248415403e-05,5.8825987854387e-05,0.00213772730205425,7.01463391982362,0.633898957935734,6.8856349295856,0.467492975035772
6.84648753996673e-05,9.06497483752935e-05,0.00292334370507395,5.41822936264801,0.465309707339129,5.30541436205588,0.342441208253713
6.84648753996673e-05,9.06497483752935e-05,0.00292334370507395,5.41822936264801,0.465309707339129,5.30541436205588,0.342441208253713
5.24918972103588e-05,3.65590909991665e-05,0.00114075715535786,7.73465747759167,0.711777622466552,7.57763888121237,0.435713650974026
5.24918972103588e-05,3.65590909991665e-05,0.00114075715535786,7.73465747759167,0.711777622466552,7.57763888121237,0.435713650974026
5.24918161107845e-05,6.54851204185648e-05,0.00421136042290705,5.76151840214556,0.33590645351747,5.62546550705103,0.258778314718297
5.24918413169284e-05,6.46956079186929e-05,0.00214674114158258,5.83017042235163,0.616542178518811,5.69407502921956,0.439335304697431
6.82693393338004e-05,8.02913893302995e-05,0.00393697493391135,5.78026996594746,0.33682051039862,5.66171845920143,0.257710326407981
