T1,T2,T3
-0.03389455,-0.04560586,-0.044920444
0.000152568,0.013600072,0.012986189
0.089402494,0.045492374,0.045103004
-0.040597421,-0.014828975,-0.013711643
-0.075476158,0.003424626,0.004091961
0.035417812,0.023531529,0.023562072
-0.005646513,0.004522868,0.004214226
-0.00254012,0.004931497,0.004601681
0.014393289,0.042135775,0.0418901
7.61E-05,-0.000443615,-0.000423096
0.031977516,0.022449773,0.022363899
0.138546499,0.025724497,0.023994629
-0.01575178,-0.013739991,-0.013644746
-0.013406669,-0.129321877,-0.12973107
-0.006489623,-0.004577267,-0.005395116
-0.054590838,-0.014651598,-0.015208365
0.002292697,0.017516131,0.017731777
-0.028269557,0.003273803,0.002870492
0.006858962,0.022252446,0.022639478
0.024749012,0.016192732,0.017471794
-0.004885953,-0.029822432,-0.02935776
-0.002013693,-0.011553134,-0.011678821
-0.008975775,0.000603599,-8.29E-05
-0.046387264,0.019088909,0.020018291
-0.003189315,0.030551767,0.030969898
-0.172677112,-0.068965732,-0.068654257
0.053570106,-0.039166333,-0.037965003
-0.019398646,-0.040455046,-0.040053726
0.029529864,-0.04101748,-0.040751637
0.028810251,0.016234529,0.015745131
0.030379721,0.003226159,0.002721569
0.009666611,0.015835446,0.01638785
-0.053120828,-0.030467431,-0.029914177
-0.016898832,0.016050449,0.015751781
-0.007358552,-0.050821109,-0.050788698
0.010349337,0.009639038,0.009398678
0.013768059,0.017101218,0.016041824
0.085574854,0.164240854,0.164060744
-0.104662526,0.002520929,0.002606574
-0.003127845,0.002391545,0.002732662
0.019526013,0.004756947,0.005011461
0.11107071,0.009374042,0.009307277
-0.090643816,-0.053618238,-0.052468066
-0.001521343,0.004023201,0.004374947
-0.184042372,-0.082282199,-0.081942222
0.018064332,0.002582076,0.002243846
-0.018755642,-0.013245608,-0.012884325
0.003316388,-0.020419103,-0.01963739
0.094876865,-0.035557221,-0.036084399
-0.006851733,-0.003163231,-0.003048296
-0.044476146,-0.089564909,-0.089139859
-0.009472485,-0.018245335,-0.017820681
0.059851952,0.010273611,0.010042562
-0.008303896,0.02341107,0.024024444
0.04228843,0.057372233,0.057913655
-0.009155951,-0.007106779,-0.007763998
0.039116203,0.028212047,0.027703417
0.026146403,-0.029744829,-0.030034347
-0.033445264,-0.0571668,-0.05653484
-0.003438214,0.02607096,0.026478016
-2.33E-06,-0.001046254,-0.001062692
-0.017135281,0.036369357,0.034603603
0.024605938,-0.032511152,-0.032300025
-0.005775884,0.021417534,0.021570103
0.000773806,-0.015197726,-0.015331537
0.003381281,-0.005136681,-0.004963585
0.015676034,0.041875703,0.041621578
0.003427559,-0.012605534,-0.012571705
0.050801753,-0.017355339,-0.016514822
-0.000268007,-0.000672884,-0.0006119
-0.002387703,-0.045028843,-0.045399935
0.023801794,0.03618662,0.036047356
-0.012250261,-0.011941659,-0.012006882
0.003499676,0.015320755,0.015165891
0.041120463,0.025775212,0.02588559
-0.104280672,-0.007097277,-0.007785464
-0.036657403,-0.055913162,-0.054854939
-0.091434209,-0.081979873,-0.081815419
-0.013039413,-0.00953977,-0.00948193
0.042114835,0.068152918,0.067907483
0.0125591,0.004164624,0.002956506
-0.002933598,-0.00841894,-0.008317412
0.024576151,0.006868473,0.007612628
0.02539599,-0.014816148,-0.014837463
-0.045142169,0.017238507,0.0180935
0.011802092,0.037087355,0.037224971
-0.059009119,0.015311162,0.016160664
-0.020167738,-0.00480232,-0.005995366
-0.014108814,0.017178779,0.01717801
0.040345884,0.016502006,0.016611403
0.004245056,0.024295198,0.023013163
9.90E-07,0.001285667,0.001282971
0.015713726,0.029229386,0.028803983
-0.03494226,-0.02446357,-0.024084541
-0.092607538,-0.046820927,-0.047120832
0.004727713,-0.037105695,-0.036895307
-0.009061683,-0.000850657,-0.001876922
0.027668182,0.007979366,0.007279247
0.063649153,0.138207328,0.137534726
-0.000497239,-0.006672153,-0.006371434
