T1,T2,T3,,,
0.012704538,-0.008013178,-0.006948448,,,
0.000431917,-0.004349715,-0.004320025,,,
5.06E-07,0.00068316,0.000638523,,,
-0.062460204,0.034337587,0.030231316,,,
-0.022605222,0.021048714,0.01957344,,,
-0.001004817,-0.005625793,-0.005464516,,,
0.001845833,-0.031061043,-0.031546182,,,
8.12E-08,-0.001191217,-0.001141884,,,
-0.003276981,-0.024554627,-0.026335379,,,
0.059023661,0.047962142,0.047621396,,,
0.001904584,0.021859244,0.020708136,,,
-0.023872674,-0.005131884,-0.005406173,,,
-0.078717761,0.162871605,0.162732019,,,
-0.046449549,0.007081333,0.007645257,,,
-0.00121046,0.003831972,0.003331866,,,
-0.031696536,-0.010595324,-0.010991199,,,
-0.037754407,-0.120148721,-0.119569342,,,
-0.001004817,-0.005625793,-0.005464516,,,
-1.70E-06,0.001100367,0.001059649,,,
0.035803103,-0.006611253,-0.004397638,,,
5.50E-05,-0.065700825,-0.063340865,,,
-1.28E-06,0.000584058,0.000552496,,,
0.093689849,-6.99E-05,-0.000511172,,,
-8.51E-07,0.000173601,0.000168829,,,
-0.026855241,0.026001933,0.025943006,,,
-0.012773367,-0.01267953,-0.012267046,,,
-0.013420748,0.005670577,0.004495696,,,
0.093796055,-0.020059635,-0.022932488,,,
4.33E-06,-0.000154139,-0.000140849,,,
-6.43E-05,0.007381645,0.00714464,,,
0.093689849,-6.99E-05,-0.000511172,,,
-0.025278306,0.001603106,0.00195009,,,
-9.20E-07,-0.003301173,-0.00321236,,,
-0.051537657,-0.011885606,-0.012159401,,,
0.000513232,-0.005811627,-0.005801343,,,
-0.010114837,0.057719684,0.056799491,,,
-0.022932525,0.022475318,0.02339232,,,
0.006278791,0.01502021,0.014005649,,,
0.031992721,0.0790795,0.081347764,,,
-1.89E-06,-0.000104788,-0.000106316,,,
0.003427182,-0.016297695,-0.016697368,,,
-0.065018857,-0.016571059,-0.017036284,,,
0.007246646,0.016012997,0.015305629,,,
8.83E-06,0.006489022,0.006805456,,,
-0.026231722,0.025324986,0.025226463,,,
4.19E-06,0.034338035,0.033055099,,,
-9.20E-07,-0.003301173,-0.00321236,,,
-0.029744303,0.044392267,0.046692186,,,
2.12E-07,0.000122993,0.000112271,,,
-0.021445445,0.166677761,0.16185883,,,
-0.00129074,0.002624002,0.002900354,,,
-0.004636078,-0.000286808,-0.002017577,,,
0.041411547,0.010418183,0.01059629,,,
-0.010513138,-0.001249657,-0.000721326,,,
0.00687842,-0.011962598,-0.011489277,,,
0.055542294,-0.04340098,-0.042254902,,,
-0.003723392,-0.011270059,-0.011843521,,,
-0.004852255,0.004029978,0.002847756,,,
0.020706886,-0.002757788,-0.001476941,,,
-0.000225173,0.002324727,0.002365473,,,
-0.000660595,0.002236043,0.002805338,,,
-0.007497758,-0.287958676,-0.280481955,,,
-0.010513138,-0.001249657,-0.000721326,,,
0.000755389,-0.012527265,-0.013420561,,,
-0.013615247,-0.017682736,-0.017840656,,,
-0.002737025,-0.010097922,-0.007394794,,,
0.012805526,0.001272636,0.001180627,,,
0.000637041,0.014828565,0.015233492,,,
-0.030488004,-0.003486103,-0.003609914,,,
0.020706886,-0.002757788,-0.001476941,,,
0.093703164,0.018640199,0.015621552,,,
0.033650112,-0.113765907,-0.11470208,,,
-0.003330113,-0.003230424,-0.003538948,,,
-0.008688274,-0.008833651,-0.008658963,,,
-0.003330113,-0.003230424,-0.003538948,,,
0.038845567,0.010558957,0.00917779,,,
-0.000203574,0.005592504,0.005619438,,,
-0.000133611,-0.000316334,-0.000303061,,,
0.000714599,-0.020750381,-0.019665867,,,
6.95E-05,-0.000989977,-0.000869108,,,
-0.000433077,-0.004588515,-0.004759137,,,
0.075445089,0.020004776,0.019089006,,,
-7.87E-07,0.000981904,0.000943267,,,
-0.011462751,0.034060188,0.034833212,,,
-0.045055977,-0.012554261,-0.01277179,,,
-0.062126014,0.005858133,0.007719085,,,
-0.000729675,0.004867142,0.005405476,,,
-0.001598718,-0.01742988,-0.018744189,,,
-0.000433077,-0.004588515,-0.004759137,,,
0.014486536,-0.037011107,-0.035544325,,,
0.001267005,0.002207463,0.002681757,,,
-0.057109879,0.002581409,0.003630535,,,
-0.000357441,-0.009880221,-0.009348261,,,
1.24E-06,0.000140881,0.000131354,,,
-1.76E-07,5.29E-05,4.35E-05,,,
-0.003276981,-0.024554627,-0.026335379,,,
0.015984296,-0.030519458,-0.029347765,,,
-0.003276981,-0.024554627,-0.026335379,,,
0.004559123,0.018299793,0.018416484,,,
0.018874584,-0.002422693,-0.001264145,,,
