T1,T2,T3
-0.001624134,-0.005630105,-0.004331055
5.01E-07,-0.005934477,-0.005409914
-1.15E-06,-0.007109225,-0.006625676
-0.005680321,7.52E-05,-0.000703907
-0.00645732,-0.006955325,-0.005880771
-0.001747806,-0.007908491,-0.007027196
-0.004891936,-0.013708274,-0.01282267
0.002101371,-0.002932864,-0.002578297
0.000170919,-0.000851511,-0.00109504
-3.02E-07,-0.003183845,-0.002607811
0.002418838,0.000518816,0.000310636
0.048616927,0.004940368,0.005063723
2.99E-08,-0.001632605,-0.001465045
-0.000759945,5.20E-05,-0.000526241
0.007782656,-0.004446349,-0.004587003
0.006419347,-0.004458351,-0.003536553
-0.00542038,-0.001675492,-0.001127307
1.73E-06,-0.00107073,-0.001549019
-0.008941304,-0.010627599,-0.010637081
3.53E-08,-0.002539815,-0.002135681
0.016132383,-0.006617966,-0.00627855
-1.16E-05,-0.005426025,-0.005259101
-0.002097406,-0.004165172,-0.004003704
-0.059692486,-0.027082794,-0.024444156
-0.003841256,-0.001157185,-0.001183484
-1.35E-06,-0.005114813,-0.004487048
-0.038348597,-0.012208734,-0.011225113
4.31E-06,-0.006939466,-0.007236714
-4.47E-06,-0.003422051,-0.002909123
-8.61E-08,-0.002412157,-0.002020464
0.004805532,0.000776784,0.000692924
-0.000227865,-0.006201128,-0.005675989
2.83E-07,-0.003640668,-0.003998507
0.009048579,0.004421701,0.003276863
-1.98E-06,-0.004687178,-0.004076986
-2.37E-06,-0.006127098,-0.005110437
-0.000992247,-0.002711069,-0.002540854
-0.0001385,-0.00315244,-0.002931403
-5.55E-06,-0.006975122,-0.006230382
0.002655222,0.002025015,0.001551536
-1.02E-05,-0.007749189,-0.006195954
0.001249632,-0.012562483,-0.010804206
-0.007746324,-0.005076902,-0.004552711
-1.05E-08,-0.008387515,-0.007944471
0.004892232,-0.000461954,-0.001499875
-0.000321409,-0.002485853,-0.002206447
0.004835985,-0.004320536,-0.003152132
-0.003294027,-0.000561205,-0.000363066
-0.000541484,-0.001242318,-0.002029697
-0.012929834,-0.014995674,-0.013103862
0.005635936,-0.005672474,-0.003935064
-0.006307059,-0.003306033,-0.003287314
2.63E-06,-0.006473363,-0.006147619
7.14E-07,-0.002735023,-0.003438794
0.009806908,-0.001591304,-0.001377991
0.016056215,-0.006892249,-0.006479994
-4.87E-09,-0.002370248,-0.002286272
0.009653753,0.004391525,0.004066439
0.274812442,0.089674414,0.081374142
-0.001264934,-0.005599355,-0.004933849
-1.02E-06,-0.002936826,-0.002747911
0.006636965,-0.002688938,-0.002593746
-0.001078726,-0.010085082,-0.007751354
1.43E-06,-0.000292498,-0.001344689
-1.26E-06,-0.004117134,-0.003747651
-0.005433428,-0.002965748,-0.002526691
0.014990443,-0.001084038,-0.001105333
4.95E-07,-0.002710985,-0.002328168
-0.005206812,-0.000312781,-0.000790867
-2.46E-08,-0.004876274,-0.00419406
0.053496046,0.000675347,0.000210621
0.005567188,-0.008935415,-0.00752418
-0.003634648,2.55E-05,-0.000759744
0.005365691,-0.005463927,-0.005114358
-7.17E-06,-0.00773864,-0.006522451
-0.00321259,-0.002824186,-0.002286727
-2.58E-06,-0.005882199,-0.005050766
-0.026627811,-0.012768119,-0.01134989
-0.002051257,-0.010166718,-0.008887612
-1.50E-07,-0.001647794,-0.001761124
2.10E-08,-0.002854168,-0.00246021
2.30E-06,-0.00251862,-0.002095668
-3.49E-06,-0.003265107,-0.003853445
0.000149904,-0.002918061,-0.002425956
-9.85E-07,-0.004025987,-0.003865416
0.027341149,0.006946961,0.005918849
5.36E-05,-0.001468774,-0.001421501
-0.000969499,4.78E-05,0.000175769
3.53E-07,-0.000377302,-0.000416923
0.002766916,-0.002296555,-0.001848466
0.000108394,-0.004226319,-0.003961935
0.0001724,-0.001715088,-0.001441014
0.007262588,-0.000774067,-0.000517608
-0.032208713,-0.011260923,-0.009264337
-1.25E-08,-0.002207594,-0.00176207
1.64E-06,-0.001320168,-0.00107561
-0.033952566,-0.012509753,-0.011178814
0.004648395,-0.001184705,-0.000612139
0.044826337,0.006505738,0.005657365
1.80E-06,-0.000835226,-0.001209929
